trip_id,region,requested_at,distance_km,demand_index,surge_multiplier,predicted_eta_minutes,actual_eta_minutes,base_fare_usd,final_fare_usd,driver_available,converted
1,East,2026-06-10T09:03:00,10.06,2.06,1.63,27.8,27.9,18.08,29.47,1,0
2,North,2026-07-06T10:52:00,6.46,1.17,1.1,19.4,18.7,13.22,14.54,0,0
3,Downtown,2026-06-26T02:14:00,12.56,0.89,1.0,34.8,36.0,21.45,21.45,1,1
4,Downtown,2026-07-07T17:23:00,8.35,1.58,1.35,21.0,19.3,15.78,21.3,1,1
5,East,2026-06-30T17:29:00,4.94,1.72,1.43,13.7,16.4,11.17,15.97,1,1
6,West,2026-06-19T17:04:00,7.83,1.61,1.37,16.9,19.0,15.07,20.65,1,0
7,North,2026-07-19T17:50:00,8.47,2.65,1.99,20.5,20.9,15.93,31.71,1,1
8,West,2026-07-15T17:03:00,4.8,2.72,2.03,11.8,16.9,10.98,22.29,1,1
9,East,2026-06-02T20:22:00,7.29,0.66,1.0,19.9,20.4,14.34,14.34,1,1
10,North,2026-06-11T12:35:00,8.25,0.88,1.0,23.2,24.6,15.64,15.64,1,1
11,West,2026-06-15T07:11:00,9.23,1.42,1.25,27.3,28.7,16.96,21.19,0,0
12,Downtown,2026-06-24T17:20:00,8.87,3.12,2.27,21.9,22.7,16.48,37.41,1,0
13,Downtown,2026-06-26T09:25:00,10.11,1.51,1.31,28.9,29.5,18.15,23.78,1,1
14,North,2026-07-07T07:06:00,8.34,3.11,2.26,21.0,22.2,15.76,35.62,1,1
15,East,2026-07-09T09:07:00,9.27,3.16,2.3,26.2,28.4,17.02,39.14,1,1
16,West,2026-07-24T18:33:00,8.15,1.44,1.26,24.1,23.7,15.51,19.54,1,0
17,Downtown,2026-06-20T22:55:00,11.7,1.12,1.07,34.1,33.4,20.3,21.72,1,1
18,South,2026-07-10T19:48:00,8.29,2.93,2.16,23.1,22.7,15.69,33.89,0,0
19,Downtown,2026-07-02T09:01:00,12.14,2.25,1.75,31.2,30.7,20.89,36.56,1,1
20,East,2026-06-24T04:06:00,4.7,0.83,1.0,12.5,13.5,10.84,10.84,1,1
21,West,2026-07-29T17:51:00,2.72,1.62,1.37,5.9,6.2,8.18,11.2,1,1
22,East,2026-06-06T19:46:00,4.43,2.11,1.67,8.9,13.5,10.48,17.5,0,0
23,South,2026-06-02T07:57:00,1.94,2.5,1.9,5.2,2.6,7.11,13.52,0,0
24,Downtown,2026-06-09T01:51:00,7.71,1.57,1.34,18.4,17.5,14.91,19.98,1,1
25,South,2026-06-02T08:18:00,1.06,1.99,1.59,2.8,4.5,5.94,9.44,1,1
26,Downtown,2026-07-23T19:26:00,5.52,2.89,2.13,15.0,15.6,11.95,25.46,1,1
27,South,2026-07-09T00:51:00,7.54,1.22,1.13,20.6,23.6,14.68,16.59,1,1
28,North,2026-07-27T17:15:00,8.33,1.74,1.45,22.8,23.9,15.75,22.84,0,0
29,North,2026-06-29T09:32:00,4.82,1.9,1.54,11.9,13.9,11.01,16.96,0,0
30,Downtown,2026-07-27T19:59:00,2.93,1.87,1.52,5.7,5.5,8.46,12.86,0,0
31,North,2026-06-26T11:04:00,4.89,0.81,1.0,11.4,13.7,11.1,11.1,1,1
32,East,2026-06-10T08:08:00,10.35,3.14,2.28,28.4,35.6,18.48,42.13,1,1
33,South,2026-06-11T18:32:00,3.75,2.04,1.63,10.4,9.9,9.56,15.58,1,1
34,West,2026-06-22T15:18:00,8.67,1.11,1.07,29.5,32.0,16.2,17.34,1,1
35,East,2026-06-18T02:49:00,8.74,1.42,1.25,26.7,25.3,16.3,20.37,1,1
36,Downtown,2026-07-07T14:20:00,0.8,0.69,1.0,2.4,3.1,5.58,5.58,0,0
37,North,2026-07-11T04:16:00,11.95,0.67,1.0,34.6,32.3,20.63,20.63,1,1
38,East,2026-07-10T06:33:00,7.33,1.31,1.19,24.4,22.7,14.4,17.14,1,1
39,East,2026-07-04T18:18:00,2.0,1.89,1.53,5.5,7.6,7.2,11.01,0,0
40,Downtown,2026-07-06T22:32:00,6.47,1.07,1.04,17.7,17.5,13.23,13.76,1,1
41,West,2026-07-03T08:13:00,9.41,2.9,2.14,24.2,25.8,17.21,36.83,1,0
42,South,2026-06-01T03:47:00,4.04,1.48,1.29,10.1,11.1,9.96,12.84,1,1
43,East,2026-07-09T08:18:00,8.47,1.88,1.53,22.5,21.8,15.93,24.37,1,1
44,North,2026-07-27T08:22:00,8.65,1.73,1.44,21.9,23.3,16.18,23.3,1,1
45,North,2026-06-06T08:05:00,9.13,2.11,1.67,26.6,27.1,16.83,28.1,1,1
46,South,2026-07-13T19:50:00,5.52,2.98,2.19,13.2,18.3,11.95,26.18,0,0
47,Downtown,2026-07-12T07:52:00,9.95,2.53,1.92,20.4,23.3,17.93,34.42,1,1
48,North,2026-07-23T18:51:00,4.88,3.01,2.2,11.8,10.7,11.09,24.39,0,0
49,South,2026-07-11T09:06:00,4.0,1.49,1.29,11.3,10.1,9.89,12.76,1,1
50,North,2026-07-18T20:57:00,6.03,1.14,1.08,15.3,14.9,12.64,13.65,1,1
51,East,2026-06-16T18:13:00,7.06,2.23,1.74,21.4,27.5,14.03,24.41,1,0
52,South,2026-06-05T17:21:00,9.76,1.86,1.51,25.3,24.8,17.68,26.69,0,0
53,North,2026-07-02T08:43:00,8.32,2.28,1.77,22.7,24.2,15.73,27.84,1,1
54,Downtown,2026-06-13T08:05:00,9.99,3.09,2.25,29.3,33.2,17.99,40.48,1,1
55,East,2026-06-25T07:59:00,7.53,1.66,1.39,22.5,24.4,14.67,20.39,1,1
56,North,2026-07-16T09:31:00,6.0,3.02,2.21,15.2,16.3,12.6,27.85,1,1
57,East,2026-07-17T07:22:00,5.34,2.0,1.6,14.5,14.4,11.71,18.74,1,1
58,North,2026-07-28T18:16:00,9.24,2.07,1.64,16.1,22.2,16.98,27.84,1,1
59,East,2026-07-25T02:06:00,10.97,1.23,1.14,30.1,32.4,19.31,22.01,1,1
60,West,2026-07-27T01:48:00,5.88,1.23,1.14,18.9,16.7,12.44,14.18,1,0
61,West,2026-06-29T17:08:00,4.88,1.49,1.29,11.7,14.2,11.09,14.31,1,1
62,East,2026-06-26T17:19:00,9.09,2.27,1.76,23.0,24.0,16.78,29.53,0,0
63,Downtown,2026-07-28T19:35:00,7.8,3.19,2.32,25.3,28.7,15.03,34.88,0,0
64,East,2026-07-06T04:15:00,8.11,0.97,1.0,21.7,20.4,15.45,15.45,1,1
65,Downtown,2026-06-14T09:21:00,6.55,2.43,1.86,14.7,15.2,13.34,24.82,1,1
66,North,2026-06-18T19:24:00,2.88,2.12,1.67,5.5,9.1,8.39,14.0,1,0
67,North,2026-06-28T18:57:00,9.31,2.28,1.77,17.3,22.2,17.07,30.21,1,1
68,West,2026-06-16T18:14:00,3.38,1.68,1.41,7.3,8.2,9.07,12.78,1,1
69,West,2026-06-06T17:02:00,8.16,2.42,1.85,21.2,20.9,15.51,28.7,1,1
70,West,2026-07-15T18:06:00,0.8,1.53,1.32,2,2.2,5.58,7.37,0,0
71,Downtown,2026-06-01T00:19:00,9.09,0.92,1.0,23.6,23.6,16.77,16.77,1,0
72,West,2026-07-16T17:03:00,10.41,1.44,1.26,22.4,22.9,18.55,23.37,1,1
73,East,2026-06-15T14:44:00,4.74,1.28,1.17,13.6,14.8,10.9,12.76,1,1
